273|14|8|2020-10-22 17:02:36
661|21|9|2018-11-12 08:45:32
161|7|6|2020-12-18 19:39:53
809|7|5|2019-10-12 09:31:01
101|12|5|2021-07-23 07:51:19
213|3|7|2021-07-16 00:05:39
875|15|9|2024-01-03 20:09:09
723|4|9|2024-08-03 13:29:20
940|11|9|2021-08-30 09:27:45
130|10|10|2018-10-20 21:58:09
360|5|5|2018-12-02 20:51:03
55|10|6|2022-05-26 21:54:15
716|7|6|2024-07-28 15:38:12
112|3|6|2019-07-09 11:38:28
707|12|10|2022-04-23 18:03:14
345|12|10|2018-12-15 07:03:04
211|15|10|2018-11-19 14:03:55
889|11|5|2022-01-17 02:39:38
795|10|7|2022-10-13 16:43:55
409|6|6|2024-09-11 18:25:19
359|4|5|2024-10-20 03:38:33
281|20|5|2019-09-07 18:38:24
131|16|7|2020-03-09 05:06:04
682|21|9|2021-08-16 20:54:06
738|7|7|2022-11-21 07:05:30
140|15|6|2021-02-25 01:04:40
95|13|5|2018-01-16 02:34:31
449|4|9|2018-12-20 23:07:55
802|17|6|2019-06-14 08:07:13
525|1|8|2024-08-21 06:05:09
366|3|6|2018-02-10 19:15:33
418|13|5|2018-08-10 17:03:38
916|16|8|2023-10-16 08:34:06
142|18|9|2018-01-17 23:33:32
705|8|5|2018-07-25 16:01:16
324|7|5|2019-06-03 22:59:40
54|7|6|2021-09-06 06:11:02
195|8|9|2021-12-12 07:02:09
282|10|6|2023-01-22 18:26:05
314|18|7|2018-10-11 03:59:09
628|5|5|2020-01-26 08:54:38
163|11|7|2020-11-03 11:31:20
284|4|5|2022-04-04 16:19:58
849|15|6|2022-02-20 00:35:06
33|16|5|2021-11-18 22:45:46
426|1|9|2023-01-27 21:49:30
407|21|5|2018-02-04 16:28:06
7|19|9|2018-06-30 16:17:00
358|16|5|2018-08-11 17:12:39
854|11|10|2022-10-13 03:29:09
587|8|8|2018-02-21 07:16:32
27|9|6|2022-06-17 13:52:41
322|1|6|2023-01-04 22:57:59
506|5|5|2023-02-04 22:40:37
50|16|7|2020-12-31 03:24:27
885|11|6|2021-11-18 22:25:39
612|14|8|2024-11-29 00:36:10
639|8|6|2018-09-07 23:15:43
174|7|8|2019-04-08 17:58:26
348|12|10|2023-09-16 22:54:48
630|7|7|2019-01-18 10:24:29
252|19|7|2021-11-19 05:53:31
514|5|6|2020-12-08 05:54:54
240|8|5|2019-01-21 23:42:46
251|4|10|2019-10-20 23:17:39
941|21|5|2019-11-22 08:06:33
738|7|10|2022-06-18 16:13:51
883|7|10|2019-06-15 23:31:48
917|3|8|2019-08-27 09:13:44
449|9|10|2023-07-12 11:50:40
282|2|6|2021-12-01 21:30:06
218|13|7|2024-02-08 04:10:58
552|19|9|2024-08-27 06:29:10
